,tweet_id,tweet_time,tweet_text,tweet_url,tweet_entities
15,1254322449207836672,2020-04-26 08:12:30,Delhi: Union Health Minister Dr Harsh Vardhan visits AIIMS Trauma Centre which has been converted into dedicated COVID-19 hospital https://t.co/NMMBVJlXVy,https://t.co/NMMBVJlXVy,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1254322212057739264, 'id_str': '1254322212057739264', 'indices': [131, 154], 'media_url': 'http://pbs.twimg.com/media/EWg_Z_uVcAAWcuM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWg_Z_uVcAAWcuM.jpg', 'url': 'https://t.co/NMMBVJlXVy', 'display_url': 'pic.twitter.com/NMMBVJlXVy', 'expanded_url': 'https://twitter.com/ANI/status/1254322449207836672/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}"
16,1254321640206471168,2020-04-26 08:09:17,"Today is #AkshayaTritiya but there's no celebration, I'm thankful for that. 
I want to appeal that it's #Ramzan but don't go out to pray. Everyone's asking where's God. God is in everyone who's serving us in these hard times -Police, Doctors, cleanliness workers &amp; others: Maha CM https://t.co/Hy7SAay17C",https://t.co/Hy7SAay17C,"{'hashtags': [{'text': 'AkshayaTritiya', 'indices': [9, 24]}, {'text': 'Ramzan', 'indices': [104, 111]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1254321327688712192, 'id_str': '1254321327688712192', 'indices': [285, 308], 'media_url': 'http://pbs.twimg.com/media/EWg-mhMVAAAyLea.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWg-mhMVAAAyLea.jpg', 'url': 'https://t.co/Hy7SAay17C', 'display_url': 'pic.twitter.com/Hy7SAay17C', 'expanded_url': 'https://twitter.com/ANI/status/1254321640206471168/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 576, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 576, 'resize': 'fit'}}}]}"
17,1254317900418224129,2020-04-26 07:54:26,"Uttarakhand: The portals of Gangotri temple in Uttarkashi district were opened today at 12:35 PM. No devotees or pilgrims were present at the time, in the light of #COVID19 pandemic. https://t.co/bO0QWEkrCo",https://t.co/bO0QWEkrCo,"{'hashtags': [{'text': 'COVID19', 'indices': [164, 172]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1254317107321294853, 'id_str': '1254317107321294853', 'indices': [183, 206], 'media_url': 'http://pbs.twimg.com/media/EWg6w3GU0AUgmVd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWg6w3GU0AUgmVd.jpg', 'url': 'https://t.co/bO0QWEkrCo', 'display_url': 'pic.twitter.com/bO0QWEkrCo', 'expanded_url': 'https://twitter.com/ANI/status/1254317900418224129/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 853, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}"
18,1254317548276813827,2020-04-26 07:53:02,Kerala: Priests in the Thiruvambadi and Paramekkavu Temples performed the flag hoisting ritual marking the beginning of the Thrissur Pooram festival in Thrissur. This year the 7-day festival will be celebrated without any public gathering due to #COVID19 lockdown. https://t.co/PCEEdELcx7,https://t.co/PCEEdELcx7,"{'hashtags': [{'text': 'COVID19', 'indices': [246, 254]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1254312868415066113, 'id_str': '1254312868415066113', 'indices': [265, 288], 'media_url': 'http://pbs.twimg.com/media/EWg26H8U0AEsN-0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWg26H8U0AEsN-0.jpg', 'url': 'https://t.co/PCEEdELcx7', 'display_url': 'pic.twitter.com/PCEEdELcx7', 'expanded_url': 'https://twitter.com/ANI/status/1254317548276813827/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 576, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 576, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}"
19,1254316215486623745,2020-04-26 07:47:44,"First reported death of a member of our medical fraternity in the state - Assistant Director of Health Services, Central Medical Stores, West Bengal Health Services - who was tested positive for #COVID19, reported in the early hours of 26th April 2020: West Bengal Doctors Forum",Forum,"{'hashtags': [{'text': 'COVID19', 'indices': [195, 203]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
20,1254313906719391744,2020-04-26 07:38:34,1 more #COVID19 positive case reported in Uttarakhand today. The total number of positive cases in the state rises to 50: Uttarakhand State Control Room #COVID19 https://t.co/2MdObNzHHM,https://t.co/2MdObNzHHM,"{'hashtags': [{'text': 'COVID19', 'indices': [7, 15]}, {'text': 'COVID19', 'indices': [153, 161]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2MdObNzHHM', 'expanded_url': 'https://twitter.com/ANI/status/1254306199459303426', 'display_url': 'twitter.com/ANI/status/125…', 'indices': [162, 185]}]}"
21,1254312519759511555,2020-04-26 07:33:03,"Madhya Pradesh: BJP National General Secretary and party's Central Observer for West Bengal, Kailash Vijayvargiya sits in protest at his residence in Indore, against West Bengal government and Chief Minister Mamata Banerjee over #COVID19 https://t.co/9lJ4UvkCwx",https://t.co/9lJ4UvkCwx,"{'hashtags': [{'text': 'COVID19', 'indices': [229, 237]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1254311424257429507, 'id_str': '1254311424257429507', 'indices': [238, 261], 'media_url': 'http://pbs.twimg.com/media/EWg1mECUEAMR1Ti.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWg1mECUEAMR1Ti.jpg', 'url': 'https://t.co/9lJ4UvkCwx', 'display_url': 'pic.twitter.com/9lJ4UvkCwx', 'expanded_url': 'https://twitter.com/ANI/status/1254312519759511555/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 576, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 576, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}"
22,1254311182992904193,2020-04-26 07:27:44,"Delhi: Union Minister Babul Supriyo, BJP MPs from West Bengal and other party leaders protest against West Bengal government and Chief Minister Mamata Banerjee, over #COVID19 https://t.co/pZPvTYb2Uw",https://t.co/pZPvTYb2Uw,"{'hashtags': [{'text': 'COVID19', 'indices': [166, 174]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1254309373414748160, 'id_str': '1254309373414748160', 'indices': [175, 198], 'media_url': 'http://pbs.twimg.com/media/EWgzusDUMAAjNHt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWgzusDUMAAjNHt.jpg', 'url': 'https://t.co/pZPvTYb2Uw', 'display_url': 'pic.twitter.com/pZPvTYb2Uw', 'expanded_url': 'https://twitter.com/ANI/status/1254311182992904193/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}"
23,1254309015820988416,2020-04-26 07:19:07,"Karnataka: Jewellery shops in Hubli remain closed and markets wear a deserted look, amid lockdown due to #COVID19.  #AkshayaTritiya https://t.co/DkTyWMbxcN",https://t.co/DkTyWMbxcN,"{'hashtags': [{'text': 'COVID19', 'indices': [105, 113]}, {'text': 'AkshayaTritiya', 'indices': [116, 131]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1254307163696054272, 'id_str': '1254307163696054272', 'indices': [132, 155], 'media_url': 'http://pbs.twimg.com/media/EWgxuENUwAAC5cH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWgxuENUwAAC5cH.jpg', 'url': 'https://t.co/DkTyWMbxcN', 'display_url': 'pic.twitter.com/DkTyWMbxcN', 'expanded_url': 'https://twitter.com/ANI/status/1254309015820988416/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}"
24,1254306199459303426,2020-04-26 07:07:56,"#Uttarakhand A nursing staff at the hospital has tested positive for Coronavirus: All India Institute of Medical Sciences, Rishikesh PRO Harish Thapliyal",Thapliyal,"{'hashtags': [{'text': 'Uttarakhand', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
